date,routeer,door,gifts,womens one,womens two,mens,upstairs
4/14/2013 11:48,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 11:48,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:48,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 11:48,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:48,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:48,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 11:48,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:49,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:49,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:49,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:49,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:49,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 11:49,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 11:51,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:51,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:51,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:51,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:51,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:51,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:51,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:53,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:53,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:53,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:54,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:55,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:55,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:55,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:55,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 11:55,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:55,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 11:56,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:56,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 11:56,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:56,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:56,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:57,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:57,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:57,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:57,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:57,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:57,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:57,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 11:57,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:57,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:57,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:58,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:58,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 11:58,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:58,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:58,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:58,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 11:58,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:58,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 11:58,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:59,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:59,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:59,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:59,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:59,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:59,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 11:59,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 11:59,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 11:59,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 11:59,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 11:59,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 11:59,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 11:59,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 11:59,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 11:59,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 11:59,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 11:59,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:00,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:00,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:00,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:00,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:00,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:00,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 12:00,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:00,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:01,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 12:01,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 12:01,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 12:01,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:01,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:01,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:01,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:01,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 12:01,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 12:01,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 12:02,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 12:02,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 12:02,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 12:02,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:02,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:02,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 12:02,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 12:02,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 12:02,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:02,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:02,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:02,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:03,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:03,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:03,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:04,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 12:04,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 12:04,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 12:04,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 12:04,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 12:04,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 12:04,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 12:04,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:04,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:04,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 12:04,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:04,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:04,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:04,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:04,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:04,00:13:a2:00:40:79:c2:16,,,1,,,
4/14/2013 12:04,00:13:a2:00:40:8c:bc:00,,,,1,,
4/14/2013 12:04,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 12:04,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 12:04,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 12:04,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 12:04,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:04,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 12:04,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:05,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:05,00:13:a2:00:40:a0:97:e5,,,,,1,
4/14/2013 12:06,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 12:06,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 12:06,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 12:06,00:13:a2:00:40:a4:d7:1d,,,,,,1
4/14/2013 12:06,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 12:06,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 12:06,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 12:06,00:13:a2:00:40:89:d6:0b,1,,,,,
4/14/2013 12:06,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 12:06,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 12:06,00:13:a2:00:40:8b:48:8c,,1,,,,
4/14/2013 12:06,00:13:a2:00:40:8b:48:8c,,1,,,,
